generating_institute     gfz-potsdam
     generating_date     2017/04/04
        product_type     topography
                body     earth
           modelname     etopo1_bin_int
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north      -2.0000000000000    
      latlimit_south      -12.000000000000    
      longlimit_west       310.00000000000    
      longlimit_east       320.00000000000    
            gridstep       1.0000000000000    
  latitude_parallels            11
 longitude_parallels            11
number_of_gridpoints           121
            gapvalue           9999.0000
       weighted_mean      2.4835797E+02 meter
            maxvalue      8.3300000E+02 meter
            minvalue     -2.4150000E+03 meter
         signal_wrms      3.6302777E+02 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
end_of_head ============================================
       310.000000     -2.000000      23.00
       311.000000     -2.000000      18.00
       312.000000     -2.000000      42.00
       313.000000     -2.000000      58.00
       314.000000     -2.000000      39.00
       315.000000     -2.000000      39.00
       316.000000     -2.000000     -20.00
       317.000000     -2.000000     -40.00
       318.000000     -2.000000   -1613.00
       319.000000     -2.000000    -295.00
       320.000000     -2.000000   -2415.00
       310.000000     -3.000000      64.00
       311.000000     -3.000000      52.00
       312.000000     -3.000000      77.00
       313.000000     -3.000000      88.00
       314.000000     -3.000000      71.00
       315.000000     -3.000000      14.00
       316.000000     -3.000000      57.00
       317.000000     -3.000000      54.00
       318.000000     -3.000000      40.00
       319.000000     -3.000000      16.00
       320.000000     -3.000000      38.00
       310.000000     -4.000000     106.00
       311.000000     -4.000000     122.00
       312.000000     -4.000000     129.00
       313.000000     -4.000000     187.00
       314.000000     -4.000000     210.00
       315.000000     -4.000000      14.00
       316.000000     -4.000000      89.00
       317.000000     -4.000000     104.00
       318.000000     -4.000000      68.00
       319.000000     -4.000000     776.00
       320.000000     -4.000000     180.00
       310.000000     -5.000000     164.00
       311.000000     -5.000000     159.00
       312.000000     -5.000000     330.00
       313.000000     -5.000000     260.00
       314.000000     -5.000000     189.00
       315.000000     -5.000000     121.00
       316.000000     -5.000000     170.00
       317.000000     -5.000000     104.00
       318.000000     -5.000000     150.00
       319.000000     -5.000000     530.00
       320.000000     -5.000000     425.00
       310.000000     -6.000000     201.00
       311.000000     -6.000000     133.00
       312.000000     -6.000000     217.00
       313.000000     -6.000000     220.00
       314.000000     -6.000000     208.00
       315.000000     -6.000000     282.00
       316.000000     -6.000000     248.00
       317.000000     -6.000000     174.00
       318.000000     -6.000000     155.00
       319.000000     -6.000000     763.00
       320.000000     -6.000000     498.00
       310.000000     -7.000000     261.00
       311.000000     -7.000000     198.00
       312.000000     -7.000000     280.00
       313.000000     -7.000000     278.00
       314.000000     -7.000000     466.00
       315.000000     -7.000000     259.00
       316.000000     -7.000000     258.00
       317.000000     -7.000000     259.00
       318.000000     -7.000000     239.00
       319.000000     -7.000000     284.00
       320.000000     -7.000000     478.00
       310.000000     -8.000000     195.00
       311.000000     -8.000000     191.00
       312.000000     -8.000000     170.00
       313.000000     -8.000000     375.00
       314.000000     -8.000000     405.00
       315.000000     -8.000000     373.00
       316.000000     -8.000000     380.00
       317.000000     -8.000000     343.00
       318.000000     -8.000000     314.00
       319.000000     -8.000000     372.00
       320.000000     -8.000000     424.00
       310.000000     -9.000000     194.00
       311.000000     -9.000000     225.00
       312.000000     -9.000000     297.00
       313.000000     -9.000000     525.00
       314.000000     -9.000000     291.00
       315.000000     -9.000000     389.00
       316.000000     -9.000000     486.00
       317.000000     -9.000000     623.00
       318.000000     -9.000000     379.00
       319.000000     -9.000000     428.00
       320.000000     -9.000000     373.00
       310.000000    -10.000000     171.00
       311.000000    -10.000000     276.00
       312.000000    -10.000000     318.00
       313.000000    -10.000000     280.00
       314.000000    -10.000000     521.00
       315.000000    -10.000000     430.00
       316.000000    -10.000000     389.00
       317.000000    -10.000000     421.00
       318.000000    -10.000000     621.00
       319.000000    -10.000000     754.00
       320.000000    -10.000000     461.00
       310.000000    -11.000000     184.00
       311.000000    -11.000000     277.00
       312.000000    -11.000000     306.00
       313.000000    -11.000000     465.00
       314.000000    -11.000000     678.00
       315.000000    -11.000000     532.00
       316.000000    -11.000000     698.00
       317.000000    -11.000000     403.00
       318.000000    -11.000000     551.00
       319.000000    -11.000000     586.00
       320.000000    -11.000000     350.00
       310.000000    -12.000000     197.00
       311.000000    -12.000000     264.00
       312.000000    -12.000000     386.00
       313.000000    -12.000000     375.00
       314.000000    -12.000000     807.00
       315.000000    -12.000000     457.00
       316.000000    -12.000000     716.00
       317.000000    -12.000000     445.00
       318.000000    -12.000000     833.00
       319.000000    -12.000000     640.00
       320.000000    -12.000000     307.00
