generating_institute     gfz-potsdam
     generating_date     2017/04/04
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north       0.0000000000000    
      latlimit_south      -15.000000000000    
      longlimit_west       310.00000000000    
      longlimit_east       320.00000000000    
            gridstep       1.0000000000000    
  latitude_parallels            16
 longitude_parallels            11
number_of_gridpoints           176
            gapvalue            999.0000
       weighted_mean     -1.3322483E+01 mgal
            maxvalue      7.1444573E+01 mgal
            minvalue     -6.3119477E+01 mgal
         signal_wrms      2.4531519E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_anomaly
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           310.0000      0.0000       7.00       -0.506098380626
           311.0000      0.0000       0.00      -20.421440164142
           312.0000      0.0000       0.00      -34.285991769600
           313.0000      0.0000       0.00      -22.514848140709
           314.0000      0.0000       0.00       -8.377411569960
           315.0000      0.0000       0.00        4.999507716796
           316.0000      0.0000       0.00      -55.903440771488
           317.0000      0.0000       0.00      -40.705486793335
           318.0000      0.0000       0.00      -44.796059823327
           319.0000      0.0000       0.00      -34.273752850567
           320.0000      0.0000       0.00      -10.782217395899
           310.0000     -1.0000      19.00      -17.456826267548
           311.0000     -1.0000       4.00        0.341122264480
           312.0000     -1.0000      26.00      -18.812971043403
           313.0000     -1.0000       9.00       -7.484221037402
           314.0000     -1.0000       0.00       17.294904332665
           315.0000     -1.0000       0.00       34.303199186780
           316.0000     -1.0000       0.00      -19.674622590138
           317.0000     -1.0000       0.00      -26.856574608303
           318.0000     -1.0000       0.00      -41.386134893351
           319.0000     -1.0000       0.00      -17.330182402198
           320.0000     -1.0000       0.00      -20.640342586375
           310.0000     -2.0000      23.00       21.218000793510
           311.0000     -2.0000      18.00      -13.703568115275
           312.0000     -2.0000      42.00      -23.097312559983
           313.0000     -2.0000      58.00       10.754493920118
           314.0000     -2.0000      39.00      -27.098615227139
           315.0000     -2.0000      39.00      -52.676848200761
           316.0000     -2.0000       0.00       20.269703432874
           317.0000     -2.0000       0.00       53.953897996628
           318.0000     -2.0000       0.00       15.528492926542
           319.0000     -2.0000       0.00       71.444573361390
           320.0000     -2.0000       0.00      -42.324953094841
           310.0000     -3.0000      64.00        4.404624132803
           311.0000     -3.0000      52.00       12.278641739805
           312.0000     -3.0000      77.00      -30.329857319700
           313.0000     -3.0000      88.00      -34.495146128144
           314.0000     -3.0000      71.00      -24.856369520876
           315.0000     -3.0000      14.00      -39.530417100586
           316.0000     -3.0000      57.00       -0.087920739311
           317.0000     -3.0000      54.00      -20.575428181324
           318.0000     -3.0000      40.00      -14.977004019023
           319.0000     -3.0000      16.00       -2.052457783819
           320.0000     -3.0000      38.00       21.918125512244
           310.0000     -4.0000     106.00      -15.490917319561
           311.0000     -4.0000     122.00      -56.345998760676
           312.0000     -4.0000     129.00       -8.504437251311
           313.0000     -4.0000     187.00      -21.183457860907
           314.0000     -4.0000     210.00      -45.810137770630
           315.0000     -4.0000      14.00      -40.692388234298
           316.0000     -4.0000      89.00      -24.607368064444
           317.0000     -4.0000     104.00       -5.768994888733
           318.0000     -4.0000      68.00      -21.318572097861
           319.0000     -4.0000     776.00       53.033840440264
           320.0000     -4.0000     180.00      -17.084249630450
           310.0000     -5.0000     164.00       10.143842422394
           311.0000     -5.0000     159.00      -41.153475022249
           312.0000     -5.0000     330.00       -3.867170571326
           313.0000     -5.0000     260.00      -27.445076245591
           314.0000     -5.0000     189.00      -35.035777586323
           315.0000     -5.0000     121.00      -49.290835872640
           316.0000     -5.0000     170.00      -32.751852315194
           317.0000     -5.0000     104.00      -25.777989916875
           318.0000     -5.0000     150.00      -27.670261894563
           319.0000     -5.0000     530.00        3.807924412236
           320.0000     -5.0000     425.00       11.887574688707
           310.0000     -6.0000     201.00       27.746159828723
           311.0000     -6.0000     133.00      -36.495354300392
           312.0000     -6.0000     217.00      -11.224374167007
           313.0000     -6.0000     220.00      -40.771261969041
           314.0000     -6.0000     208.00      -35.772836313086
           315.0000     -6.0000     282.00      -26.557243894842
           316.0000     -6.0000     248.00      -17.905807444052
           317.0000     -6.0000     174.00      -23.905379318911
           318.0000     -6.0000     155.00      -22.923772610639
           319.0000     -6.0000     763.00       30.839691281237
           320.0000     -6.0000     498.00       19.971254921280
           310.0000     -7.0000     261.00        0.843705915798
