generating_institute     gfz-potsdam
     generating_date     2017/04/04
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -2.0000000000000    
      latlimit_south      -12.000000000000    
      longlimit_west       310.00000000000    
      longlimit_east       320.00000000000    
            gridstep       1.0000000000000    
  latitude_parallels            11
 longitude_parallels            11
number_of_gridpoints           121
            gapvalue            999.0000
       weighted_mean     -1.9985915E+01 mgal
            maxvalue      6.6592769E+01 mgal
            minvalue     -6.9066632E+01 mgal
         signal_wrms      2.5083234E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_disturbance
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           310.0000     -2.0000      23.00       14.109791938033
           311.0000     -2.0000      18.00      -21.334835477660
           312.0000     -2.0000      42.00      -30.947928298986
           313.0000     -2.0000      58.00        3.342746633983
           314.0000     -2.0000      39.00      -34.928796599942
           315.0000     -2.0000      39.00      -60.718239541124
           316.0000     -2.0000       0.00       13.529370679954
           317.0000     -2.0000       0.00       47.897072739644
           318.0000     -2.0000       0.00        9.765955219443
           319.0000     -2.0000       0.00       66.592768691187
           320.0000     -2.0000       0.00      -47.208038222202
           310.0000     -3.0000      64.00       -2.611542739395
           311.0000     -3.0000      52.00        4.877497649858
           312.0000     -3.0000      77.00      -38.294480970613
           313.0000     -3.0000      88.00      -42.556470677368
           314.0000     -3.0000      71.00      -33.087633313400
           315.0000     -3.0000      14.00      -47.884510393459
           316.0000     -3.0000      57.00       -7.316727120354
           317.0000     -3.0000      54.00      -27.336974352110
           318.0000     -3.0000      40.00      -21.101928658140
           319.0000     -3.0000      16.00       -6.888016719664
           320.0000     -3.0000      38.00       18.001516929367
           310.0000     -4.0000     106.00      -22.694184559668
           311.0000     -4.0000     122.00      -64.177177256219
           312.0000     -4.0000     129.00      -16.012364439710
           313.0000     -4.0000     187.00      -29.245311233161
           314.0000     -4.0000     210.00      -54.330972877814
           315.0000     -4.0000      14.00      -49.008903271641
           316.0000     -4.0000      89.00      -32.055001518927
           317.0000     -4.0000     104.00      -12.376509351242
           318.0000     -4.0000      68.00      -27.229164934361
           319.0000     -4.0000     776.00       48.684612866978
           320.0000     -4.0000     180.00      -21.125438904690
           310.0000     -5.0000     164.00        3.715828025008
           311.0000     -5.0000     159.00      -48.567740509320
           312.0000     -5.0000     330.00      -11.196613648501
           313.0000     -5.0000     260.00      -35.320775209335
           314.0000     -5.0000     189.00      -43.097628484823
           315.0000     -5.0000     121.00      -57.254644837279
           316.0000     -5.0000     170.00      -40.136464158991
           317.0000     -5.0000     104.00      -32.473268509925
           318.0000     -5.0000     150.00      -33.514919043220
           319.0000     -5.0000     530.00       -0.739404334738
           320.0000     -5.0000     425.00        8.317332010677
           310.0000     -6.0000     201.00       21.868609869635
           311.0000     -6.0000     133.00      -43.678986746443
           312.0000     -6.0000     217.00      -18.483549967563
           313.0000     -6.0000     220.00      -48.512679809321
           314.0000     -6.0000     208.00      -43.544010674346
           315.0000     -6.0000     282.00      -33.951363839968
           316.0000     -6.0000     248.00      -24.831288558147
           317.0000     -6.0000     174.00      -30.309444412424
           318.0000     -6.0000     155.00      -28.497008977979
           319.0000     -6.0000     763.00       26.727722931952
           320.0000     -6.0000     498.00       16.647906723399
           310.0000     -7.0000     261.00       -5.286746774580
           311.0000     -7.0000     198.00      -63.530269153667
           312.0000     -7.0000     280.00      -32.481183176536
           313.0000     -7.0000     278.00      -43.980907271468
           314.0000     -7.0000     466.00      -32.077689465027
           315.0000     -7.0000     259.00      -39.524543076119
           316.0000     -7.0000     258.00      -36.300096717845
           317.0000     -7.0000     259.00      -31.713464421657
           318.0000     -7.0000     239.00      -47.580020729754
           319.0000     -7.0000     284.00       -0.678833011314
           320.0000     -7.0000     478.00        6.605544911586
           310.0000     -8.0000     195.00      -44.604688703487
           311.0000     -8.0000     191.00      -69.066631936820
           312.0000     -8.0000     170.00      -25.515322919212
           313.0000     -8.0000     375.00      -29.104930331236
           314.0000     -8.0000     405.00      -24.970433282689
           315.0000     -8.0000     373.00      -31.824805427405
           316.0000     -8.0000     380.00      -30.618633265789
           317.0000     -8.0000     343.00      -21.235225164773
           318.0000     -8.0000     314.00      -20.936966130769
           319.0000     -8.0000     372.00       17.074813910334
           320.0000     -8.0000     424.00        1.678541793204
